Full Name,TotalPosts,MentionsClay,CriticalOfClay,PromotesSalesTool,,% of Posts  promoting or mentioning clay,% of posts promoting tools in general,,% of posts critical of clay
Eric Nowoslawski,502,220,4,271,,0.438247012,0.539840637,,0.007968127
Fabian Herhold,203,92,0,107,,0.45320197,0.527093596,,0
Jani Vrancsik,291,102,8,126,,0.350515464,0.432989691,,0.027491409
Joel Capt,89,17,0,19,,0.191011236,0.213483146,,0
Kellen Casebeer,425,70,2,104,,0.164705882,0.244705882,,0.004705882
Lanny M. Heiz (,146,58,8,78,,0.397260274,0.534246575,,0.054794521
Marielle C.,123,58,2,67,,0.471544715,0.544715447,,0.016260163
Michel Lieben,371,141,6,275,,0.380053908,0.741239892,,0.016172507
Patrick Spychalski,120,104,2,109,,0.866666667,0.908333333,,0.016666667
,,,,,,,,,
,2270,862,32,1156,0,0.41257857,0.520738689,,0.016006586